case_id,setup,final_success,iterations_used,failure_type
case_b1,baseline,True,1,none
case_b1,agent,True,4,none
case_b1,agent_reflection,True,4,none
case_b2,baseline,True,1,none
case_b2,agent,True,3,none
case_b2,agent_reflection,True,3,none
case_b3,baseline,True,1,none
case_b3,agent,True,4,none
case_b3,agent_reflection,True,4,none
case_b4,baseline,True,1,none
case_b4,agent,True,4,none
case_b4,agent_reflection,True,4,none
case_b5,baseline,True,1,none
case_b5,agent,True,4,none
case_b5,agent_reflection,True,4,none
case_b6,baseline,True,1,none
case_b6,agent,False,4,error_misinterpretation
case_b6,agent_reflection,False,4,error_misinterpretation
case_b7,baseline,True,1,none
case_b7,agent,True,4,none
case_b7,agent_reflection,True,4,none
case_b8,baseline,True,1,none
case_b8,agent,True,4,none
case_b8,agent_reflection,True,3,none
case_b9,baseline,False,1,runtime_error
case_b9,agent,True,4,none
case_b9,agent_reflection,True,4,none
case_b10,baseline,True,1,none
case_b10,agent,True,4,none
case_b10,agent_reflection,True,3,none
case_b11,baseline,True,1,none
case_b11,agent,True,3,none
case_b11,agent_reflection,True,2,none
case_b12,baseline,True,1,none
case_b12,agent,True,4,none
case_b12,agent_reflection,True,3,none
case_b13,baseline,True,1,none
case_b13,agent,False,4,error_misinterpretation
case_b13,agent_reflection,True,4,none
case_b14,baseline,True,1,none
case_b14,agent,True,4,none
case_b14,agent_reflection,True,3,none
case_b15,baseline,False,1,runtime_error
case_b15,agent,True,4,none
case_b15,agent_reflection,True,3,none
case_b16,baseline,True,1,none
case_b16,agent,True,4,none
case_b16,agent_reflection,True,3,none
case_b17,baseline,True,1,none
case_b17,agent,True,4,none
case_b17,agent_reflection,True,2,none
case_b18,baseline,True,1,none
case_b18,agent,True,4,none
case_b18,agent_reflection,True,2,none
case_b19,baseline,True,1,none
case_b19,agent,True,3,none
case_b19,agent_reflection,True,4,none
case_b20,baseline,True,1,none
case_b20,agent,True,4,none
case_b20,agent_reflection,True,4,none
case_b21,baseline,True,1,none
case_b21,agent,True,4,none
case_b21,agent_reflection,False,4,error_misinterpretation
case_b22,baseline,True,1,none
case_b22,agent,True,4,none
case_b22,agent_reflection,True,4,none
case_b23,baseline,True,1,none
case_b23,agent,True,4,none
case_b23,agent_reflection,True,2,none
case_b24,baseline,True,1,none
case_b24,agent,True,3,none
case_b24,agent_reflection,True,3,none
case_b25,baseline,True,1,none
case_b25,agent,True,3,none
case_b25,agent_reflection,True,2,none
